Date,Time,Confidence,Status,Screenshot
2026-09-04,02:28:33,0.60,FIRE CONFIRMED,alert/screenshots\fire_20260904_022833.jpg
2026-09-04,02:49:42,0.60,FIRE CONFIRMED,alert/screenshots\fire_20260904_024942.jpg
2026-09-04,11:09:20,0.60,FIRE CONFIRMED,alert/screenshots\fire_20260904_110920.jpg
